latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.353251,77.738205,177.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),precipitation (mm),vapour_pressure_deficit (kPa),wind_gusts_10m (km/h),cloud_cover (%),dew_point_2m (°C),apparent_temperature (°C)
2000-01-01T00:00,18.1,90,5.1,0.00,0.22,9.4,18,16.3,19.5
2000-01-01T01:00,17.8,91,4.8,0.00,0.19,9.7,17,16.2,19.2
2000-01-01T02:00,18.4,90,6.6,0.00,0.21,12.2,10,16.7,19.7
2000-01-01T03:00,22.1,69,6.5,0.00,0.82,17.6,7,16.2,23.3
2000-01-01T04:00,24.0,62,8.0,0.00,1.15,23.8,6,16.2,25.0
2000-01-01T05:00,25.2,55,9.2,0.00,1.43,26.6,10,15.6,25.8
2000-01-01T06:00,26.5,49,10.5,0.00,1.76,28.1,18,14.9,27.1
2000-01-01T07:00,27.9,43,10.6,0.00,2.15,27.4,47,14.1,28.8
2000-01-01T08:00,28.6,39,10.9,0.00,2.38,27.4,90,13.3,28.5
2000-01-01T09:00,28.9,38,10.0,0.00,2.47,26.3,91,13.1,28.4
2000-01-01T10:00,28.9,38,9.2,0.00,2.46,23.8,80,13.1,28.5
2000-01-01T11:00,28.6,40,10.5,0.00,2.36,23.4,48,13.5,28.1
2000-01-01T12:00,27.9,44,11.2,0.00,2.10,22.7,26,14.5,27.7
2000-01-01T13:00,26.2,52,10.1,0.00,1.64,20.9,30,15.4,26.5
2000-01-01T14:00,24.9,60,10.9,0.00,1.27,22.7,29,16.5,25.6
2000-01-01T15:00,23.9,67,10.9,0.00,0.98,24.1,19,17.4,24.9
2000-01-01T16:00,23.1,71,9.6,0.00,0.81,22.7,7,17.6,24.4
2000-01-01T17:00,22.3,75,8.0,0.00,0.68,20.2,15,17.6,23.9
2000-01-01T18:00,21.9,76,6.2,0.00,0.62,15.5,17,17.6,23.7
2000-01-01T19:00,21.6,79,4.7,0.00,0.54,11.5,18,17.9,23.8
2000-01-01T20:00,21.1,82,6.1,0.00,0.45,9.4,27,17.9,23.0
2000-01-01T21:00,20.6,84,4.1,0.00,0.38,8.3,19,17.8,22.8
2000-01-01T22:00,20.1,86,3.3,0.00,0.33,6.5,11,17.7,22.4
2000-01-01T23:00,19.6,88,3.8,0.00,0.28,6.5,1,17.5,21.7
2000-01-02T00:00,18.8,90,5.5,0.00,0.22,9.7,2,17.1,20.5
2000-01-02T01:00,18.0,92,7.1,0.00,0.17,10.4,2,16.6,19.2
2000-01-02T02:00,18.5,90,7.2,0.00,0.22,13.3,4,16.8,19.8
2000-01-02T03:00,21.9,67,9.0,0.00,0.85,22.3,0,15.6,22.4
2000-01-02T04:00,23.5,59,9.0,0.00,1.18,23.8,3,15.1,23.9
2000-01-02T05:00,25.1,52,8.9,0.00,1.54,24.8,5,14.5,25.9
2000-01-02T06:00,26.6,46,9.2,0.00,1.89,25.9,7,13.9,27.9
2000-01-02T07:00,28.0,42,9.8,0.00,2.20,27.0,18,13.7,29.5
2000-01-02T08:00,28.8,39,9.9,0.00,2.41,27.0,11,13.5,30.3
2000-01-02T09:00,29.2,38,9.9,0.00,2.52,27.0,21,13.4,30.1
2000-01-02T10:00,29.3,37,8.0,0.00,2.55,25.9,20,13.2,29.5
2000-01-02T11:00,28.9,38,8.0,0.00,2.48,23.4,0,13.1,28.7
2000-01-02T12:00,28.1,40,6.5,0.00,2.26,21.2,0,13.4,28.2
2000-01-02T13:00,26.6,45,7.7,0.00,1.90,13.0,0,13.8,26.6
2000-01-02T14:00,25.3,50,8.2,0.00,1.61,11.5,2,14.1,25.4
2000-01-02T15:00,24.0,55,9.4,0.00,1.35,12.2,31,14.3,24.0
2000-01-02T16:00,23.0,58,10.0,0.00,1.17,13.7,73,14.4,23.0
2000-01-02T17:00,22.2,62,8.6,0.00,1.01,14.0,83,14.6,22.4
2000-01-02T18:00,21.4,67,6.9,0.00,0.85,14.4,83,14.9,22.0
2000-01-02T19:00,20.8,72,6.4,0.00,0.68,11.2,100,15.6,21.7
2000-01-02T20:00,19.9,78,4.8,0.00,0.51,10.1,100,16.0,21.3
